sample_id,computed_ts,stratum,reference_completeness_status,reference_index_class,reference_index_value,value,completeness_status,index_value,index_class
outdoor_context_stale_2026-07-25T01:25:00+03:00,2026-07-25 01:25:00+03:00,outdoor_context_stale,OK,Acceptable,37.5,0.8,OK,37.5,Acceptable
outdoor_context_stale_2026-07-25T02:25:00+03:00,2026-07-25 02:25:00+03:00,outdoor_context_stale,OK,Acceptable,37.5,0.8,OK,37.5,Acceptable
outdoor_context_stale_2026-07-25T03:30:00+03:00,2026-07-25 03:30:00+03:00,outdoor_context_stale,OK,Acceptable,37.5,0.8,OK,37.5,Acceptable
outdoor_context_stale_2026-07-25T19:45:00+03:00,2026-07-25 19:45:00+03:00,outdoor_context_stale,OK,Degraded,62.33619761905545,0.8,OK,62.33619761905545,Degraded
boundary_adjacent_2026-07-15T16:20:00+03:00,2026-07-15 16:20:00+03:00,boundary_adjacent,OK,Critical,77.82094650205757,0.9,OK,77.82094650205757,Critical
boundary_adjacent_2026-07-15T22:20:00+03:00,2026-07-15 22:20:00+03:00,boundary_adjacent,OK,Critical,76.16670781893055,0.9,OK,76.16670781893055,Critical
boundary_adjacent_2026-07-18T03:15:00+03:00,2026-07-18 03:15:00+03:00,boundary_adjacent,OK,Degraded,69.35301456091095,0.9,OK,69.35301456091095,Degraded
boundary_adjacent_2026-07-18T22:00:00+03:00,2026-07-18 22:00:00+03:00,boundary_adjacent,OK,Critical,77.19748971193432,0.9,OK,77.19748971193432,Critical
boundary_adjacent_2026-07-21T03:00:00+03:00,2026-07-21 03:00:00+03:00,boundary_adjacent,OK,Favorable,20.591046993484277,0.9,OK,20.591046993484277,Favorable
class_Acceptable_2026-07-15T12:50:00+03:00,2026-07-15 12:50:00+03:00,class_Acceptable,OK,Acceptable,46.41496090834102,0.9,OK,46.41496090834102,Acceptable
class_Acceptable_2026-07-25T01:00:00+03:00,2026-07-25 01:00:00+03:00,class_Acceptable,OK,Acceptable,37.5,0.9,OK,37.5,Acceptable
class_Acceptable_2026-07-25T10:35:00+03:00,2026-07-25 10:35:00+03:00,class_Acceptable,OK,Acceptable,37.5,0.9,OK,37.5,Acceptable
class_Acceptable_2026-07-25T10:55:00+03:00,2026-07-25 10:55:00+03:00,class_Acceptable,OK,Acceptable,37.5,0.9,OK,37.5,Acceptable
class_Acceptable_2026-07-28T00:00:00+03:00,2026-07-28 00:00:00+03:00,class_Acceptable,OK,Acceptable,37.5,0.9,OK,37.5,Acceptable
class_Critical_2026-07-17T00:50:00+03:00,2026-07-17 00:50:00+03:00,class_Critical,OK,Critical,76.5490946502053,0.9,OK,76.5490946502053,Critical
class_Critical_2026-07-17T23:45:00+03:00,2026-07-17 23:45:00+03:00,class_Critical,OK,Critical,87.53780426908764,0.9,OK,87.53780426908764,Critical
class_Critical_2026-07-18T13:40:00+03:00,2026-07-18 13:40:00+03:00,class_Critical,OK,Critical,87.55597014925372,0.9,OK,87.55597014925372,Critical
class_Critical_2026-07-19T17:25:00+03:00,2026-07-19 17:25:00+03:00,class_Critical,OK,Critical,87.55597014925372,0.9,OK,87.55597014925372,Critical
class_Critical_2026-07-26T20:50:00+03:00,2026-07-26 20:50:00+03:00,class_Critical,OK,Critical,77.81263374485583,0.9,OK,77.81263374485583,Critical
class_Degraded_2026-07-19T01:15:00+03:00,2026-07-19 01:15:00+03:00,class_Degraded,OK,Degraded,64.06259143503141,0.9,OK,64.06259143503141,Degraded
class_Degraded_2026-07-19T19:20:00+03:00,2026-07-19 19:20:00+03:00,class_Degraded,OK,Degraded,70.8536793738022,0.9,OK,70.8536793738022,Degraded
class_Degraded_2026-07-27T13:45:00+03:00,2026-07-27 13:45:00+03:00,class_Degraded,OK,Degraded,54.366690589249444,0.9,OK,54.366690589249444,Degraded
class_Degraded_2026-07-27T16:15:00+03:00,2026-07-27 16:15:00+03:00,class_Degraded,OK,Degraded,62.5,0.9,OK,62.5,Degraded
class_Degraded_2026-07-28T19:05:00+03:00,2026-07-28 19:05:00+03:00,class_Degraded,OK,Degraded,57.59122645237761,0.9,OK,57.59122645237761,Degraded
class_Favorable_2026-07-23T02:10:00+03:00,2026-07-23 02:10:00+03:00,class_Favorable,OK,Favorable,12.444029850746269,0.9,OK,12.444029850746269,Favorable
class_Favorable_2026-07-24T04:40:00+03:00,2026-07-24 04:40:00+03:00,class_Favorable,OK,Favorable,12.444029850746269,0.9,OK,12.444029850746269,Favorable
class_Favorable_2026-07-27T05:50:00+03:00,2026-07-27 05:50:00+03:00,class_Favorable,OK,Favorable,12.444029850746269,0.9,OK,12.444029850746269,Favorable
class_Favorable_2026-07-27T10:20:00+03:00,2026-07-27 10:20:00+03:00,class_Favorable,OK,Favorable,24.681193415638216,0.9,OK,24.681193415638216,Favorable
class_Favorable_2026-07-29T02:10:00+03:00,2026-07-29 02:10:00+03:00,class_Favorable,OK,Favorable,12.444029850746269,0.9,OK,12.444029850746269,Favorable
completeness_PARTIAL_2026-07-16T19:00:00+03:00,2026-07-16 19:00:00+03:00,completeness_PARTIAL,PARTIAL,Favorable,12.444029850746269,0.9,PARTIAL,12.444029850746269,Favorable
completeness_PARTIAL_2026-07-16T19:35:00+03:00,2026-07-16 19:35:00+03:00,completeness_PARTIAL,PARTIAL,Favorable,12.444029850746269,0.9,PARTIAL,12.444029850746269,Favorable
completeness_PARTIAL_2026-07-26T05:30:00+03:00,2026-07-26 05:30:00+03:00,completeness_PARTIAL,PARTIAL,Favorable,12.444029850746269,0.9,FAILED,,
completeness_PARTIAL_2026-07-28T05:10:00+03:00,2026-07-28 05:10:00+03:00,completeness_PARTIAL,PARTIAL,Acceptable,34.70036324794836,0.9,PARTIAL,34.70036324794836,Acceptable
completeness_PARTIAL_2026-07-28T07:40:00+03:00,2026-07-28 07:40:00+03:00,completeness_PARTIAL,PARTIAL,Favorable,12.444029850746269,0.9,FAILED,,
data_quality_event_2026-07-25T07:55:00+03:00,2026-07-25 07:55:00+03:00,data_quality_event,PARTIAL,Favorable,12.444029850746269,0.9,PARTIAL,12.444029850746269,Favorable
data_quality_event_2026-07-25T08:25:00+03:00,2026-07-25 08:25:00+03:00,data_quality_event,PARTIAL,Favorable,12.444029850746269,0.9,PARTIAL,12.444029850746269,Favorable
data_quality_event_2026-07-28T02:00:00+03:00,2026-07-28 02:00:00+03:00,data_quality_event,FAILED,,,0.9,FAILED,,
data_quality_event_2026-07-28T07:20:00+03:00,2026-07-28 07:20:00+03:00,data_quality_event,FAILED,,,0.9,FAILED,,
data_quality_event_2026-07-28T11:20:00+03:00,2026-07-28 11:20:00+03:00,data_quality_event,PARTIAL,Favorable,20.57407939599617,0.9,PARTIAL,20.57407939599617,Favorable
ordinary_2026-07-15T05:25:00+03:00,2026-07-15 05:25:00+03:00,ordinary,OK,Acceptable,37.500000000000014,0.9,OK,37.500000000000014,Acceptable
ordinary_2026-07-18T12:15:00+03:00,2026-07-18 12:15:00+03:00,ordinary,OK,Critical,87.55597014925372,0.9,OK,87.55597014925372,Critical
ordinary_2026-07-23T15:35:00+03:00,2026-07-23 15:35:00+03:00,ordinary,OK,Favorable,12.444029850746269,0.9,OK,12.444029850746269,Favorable
ordinary_2026-07-25T15:15:00+03:00,2026-07-25 15:15:00+03:00,ordinary,OK,Favorable,12.444029850746269,0.9,OK,12.444029850746269,Favorable
ordinary_2026-07-27T23:00:00+03:00,2026-07-27 23:00:00+03:00,ordinary,OK,Acceptable,37.5,0.9,OK,37.5,Acceptable
outdoor_context_fresh_2026-07-15T07:40:00+03:00,2026-07-15 07:40:00+03:00,outdoor_context_fresh,OK,Acceptable,38.0478977588598,0.9,OK,38.0478977588598,Acceptable
outdoor_context_fresh_2026-07-16T07:50:00+03:00,2026-07-16 07:50:00+03:00,outdoor_context_fresh,OK,Acceptable,37.499999999999986,0.9,OK,37.499999999999986,Acceptable
outdoor_context_fresh_2026-07-16T20:30:00+03:00,2026-07-16 20:30:00+03:00,outdoor_context_fresh,OK,Critical,87.55597014925372,0.9,OK,87.55597014925372,Critical
outdoor_context_fresh_2026-07-17T00:20:00+03:00,2026-07-17 00:20:00+03:00,outdoor_context_fresh,OK,Critical,82.48405610350949,0.9,OK,82.48405610350949,Critical
outdoor_context_fresh_2026-07-26T13:00:00+03:00,2026-07-26 13:00:00+03:00,outdoor_context_fresh,OK,Favorable,12.444029850746269,0.9,OK,12.444029850746269,Favorable
outdoor_context_stale_2026-07-23T22:20:00+03:00,2026-07-23 22:20:00+03:00,outdoor_context_stale,OK,Favorable,12.444029850746269,0.9,OK,12.444029850746269,Favorable
outdoor_context_stale_2026-07-25T01:25:00+03:00,2026-07-25 01:25:00+03:00,outdoor_context_stale,OK,Acceptable,37.5,0.9,OK,37.5,Acceptable
outdoor_context_stale_2026-07-25T02:25:00+03:00,2026-07-25 02:25:00+03:00,outdoor_context_stale,OK,Acceptable,37.5,0.9,OK,37.5,Acceptable
outdoor_context_stale_2026-07-25T03:30:00+03:00,2026-07-25 03:30:00+03:00,outdoor_context_stale,OK,Acceptable,37.5,0.9,OK,37.5,Acceptable
outdoor_context_stale_2026-07-25T19:45:00+03:00,2026-07-25 19:45:00+03:00,outdoor_context_stale,OK,Degraded,62.33619761905545,0.9,OK,62.33619761905545,Degraded
